2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[OUT 0'0"627]     CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(529)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"522]     CDBFS::setBindPath 	FL:DBFS.cpp(529)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'4"182]     CDBFS::_initDBEnv 	FL:DBFS.cpp(735)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'4"263]     CDBFS::init 	FL:DBFS.cpp(21)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(735)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"1]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2013/11/21 14:59:31	T	xlive 	3276:3788 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[OUT 0'1"245]     CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[OUT 0'1"245]     CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[IN]              CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2013/11/21 14:59:32	T	xlive 	3276:3788 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(529)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[OUT 0'0"6]       CDBFS::setBindPath 	FL:DBFS.cpp(529)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[OUT 0'1"491]     CDBFS::_initDBEnv 	FL:DBFS.cpp(735)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[OUT 0'1"491]     CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[OUT 0'1"491]     CDBFS::init 	FL:DBFS.cpp(21)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::lock 	FL:DBFS.cpp(45)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[IN]              CDBFS::beginTransaction 	FL:DBFS.cpp(552)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::beginTransaction 	FL:DBFS.cpp(552)
2013/11/21 14:59:33	T	xlive 	3276:3788 	[IN]              CDBFS::lock 	FL:DBFS.cpp(45)
